System,SNR,Eclipse Depth,Kmag,Teq,Period,Planet Mass
-,-,ppm,-,K,d,Mjup
WASP-084,20.3,1344,8.86,953.3,8.52,0.69
WASP-029,20.2,1261,8.78,1176.4,3.92,0.24
HAT-P-17,20.1,1151,8.54,927.5,10.34,0.53
WASP-032,20.0,2514,10.16,1857.1,2.72,3.60
WASP-067,19.8,2382,10.13,1243.6,4.61,0.41
HATS-01,19.8,2993,10.58,1627.9,3.45,1.85
WASP-110,19.8,3088,10.70,1359.9,3.78,0.51
HAT-P-27,19.8,2339,10.11,1439.3,3.04,0.66
Kepler-013,19.7,1867,9.43,2595.0,1.76,6.00
WASP-015,19.6,2016,9.69,2046.5,3.75,0.59
TrES-4,19.5,2675,10.33,2150.8,3.55,0.49
WASP-070,19.2,1820,9.58,1635.8,3.71,0.59
WASP-048,19.2,2643,10.37,2327.8,2.14,0.91
HATS-23,19.0,6206,12.26,1969.6,2.16,1.47
HATS-18,19.0,6220,12.29,2444.5,0.84,1.98
KELT-21,18.8,2401,10.09,2440.3,3.61,0.00
WASP-098,18.7,3823,11.28,1393.2,2.96,0.92
HAT-P-19,18.5,2630,10.55,1200.6,4.01,0.29
CoRoT-01,18.5,5771,12.15,2279.1,1.51,1.03
Kepler-447,18.4,3100,10.81,1247.5,7.79,1.37
HAT-P-05,18.3,2654,10.48,1804.8,2.79,1.06
