Name		Hmag		AtmDepth (ppm)		SNR		Period		Mass		logg		Eq Temp
Kepler-532 b		11.62		59		0.3		12.92		0.02		2.32		825
Kepler-102 d		9.45		23		0.3		10.31		0.01		2.60		825
Kepler-957 b		13.64		160		0.3		5.91		0.10		2.39		1010
Kepler-686 b		13.94		221		0.3		1.59		1.00		3.09		1921
K2-3 d		8.80		20		0.3		44.56		0.01		2.75		367
Kepler-845 b		12.57		101		0.3		0.93		0.02		2.47		1860
Kepler-1642 c		12.16		72		0.3		6.65		0.02		2.30		1093
Kepler-497 b		13.29		129		0.3		3.57		0.12		2.39		1625
Kepler-548 b		13.15		153		0.3		4.45		1.00		3.12		1324
HAT-P-31 b		10.13		38		0.3		5.01		2.17		3.89		1640
Kepler-523 b		10.91		45		0.3		5.84		0.01		2.51		1179
Kepler-755 b		11.96		66		0.3		1.27		0.01		2.61		1732
Kepler-580 b		12.44		81		0.3		8.22		0.02		2.32		747
Kepler-1203 b		12.19		81		0.3		0.59		0.00		2.35		1690
Kepler-474 b		11.97		66		0.3		5.66		0.03		2.27		1385
CoRoT-29 b		13.12		117		0.3		2.85		0.85		3.30		1450
Kepler-673 b		13.82		172		0.3		3.73		0.17		2.53		1326
Kepler-11 e		12.24		96		0.3		32.00		0.03		1.59		772
Kepler-533 b		11.78		66		0.3		28.51		0.03		2.28		565
Kepler-1053 b		10.74		48		0.3		2.41		0.00		2.21		1209
Kepler-80 c		12.35		102		0.3		9.52		0.02		2.18		760
Kepler-1319 b		10.93		47		0.3		2.89		0.01		2.69		852
Kepler-4 b		10.84		39		0.3		3.21		0.08		2.75		1919
Kepler-446 d		13.07		139		0.3		5.15		0.01		2.73		503
Kepler-493 b		13.70		171		0.3		3.00		1.00		2.66		2163
Kepler-36 c		10.85		48		0.3		16.24		0.03		1.82		1206
Kepler-586 b		12.87		102		0.3		2.10		0.02		2.29		1728
Kepler-734 b		12.75		112		0.3		6.10		0.04		2.30		1084
Kepler-155 b		11.89		66		0.3		5.93		0.02		2.45		804
Kepler-732 b		11.95		87		0.3		9.47		0.02		2.42		538
Kepler-560 b		11.67		75		0.3		18.48		0.01		2.64		379
Kepler-585 b		12.46		93		0.3		2.75		0.02		2.28		1589
Kepler-564 b		13.16		129		0.3		3.75		0.07		2.38		1436
Kepler-186 b		11.82		61		0.3		3.89		0.00		2.36		767
Kepler-908 b		10.04		30		0.3		1.34		0.01		2.56		2310
Kepler-44 b		12.97		118		0.3		3.25		1.02		2.85		1909
Kepler-80 b		12.35		95		0.3		7.05		0.02		2.30		840
Kepler-205 b		10.96		48		0.3		2.76		0.01		2.85		934
Kepler-1027 b		11.23		49		0.3		1.91		0.00		2.06		1653
Kepler-518 b		11.19		46		0.3		8.51		0.02		2.44		1108
Kepler-656 b		13.62		157		0.3		1.26		0.03		2.27		1861
Kepler-538 b		9.67		23		0.3		81.74		0.02		2.39		510
Kepler-50 c		9.25		22		0.3		9.38		0.02		2.29		1560
Kepler-1643 b		11.76		59		0.3		5.34		0.02		2.38		1229
Kepler-1513 b		11.40		58		0.3		160.88		0.25		2.43		418
Kepler-731 b		13.76		202		0.3		3.86		1.00		2.83		1567
Kepler-398 b		10.93		46		0.3		4.08		0.00		2.14		902
Kepler-454 b		10.02		31		0.3		10.57		0.02		2.54		1095
Kepler-550 b		12.68		105		0.3		8.60		0.06		2.37		993
Kepler-471 b		12.58		113		0.3		5.01		1.00		2.68		2025
HD 80606 b		7.40		10		0.3		111.44		3.89		4.56		473
Kepler-1019 b		11.17		49		0.3		1.41		0.01		2.80		1408
Kepler-1171 b		10.59		38		0.3		1.44		0.02		2.32		3307
Kepler-428 b		13.29		150		0.3		3.53		1.27		3.34		1270
Kepler-546 b		12.78		110		0.3		4.15		0.20		2.61		1605
Kepler-486 b		12.38		98		0.3		30.36		0.76		3.02		583
Kepler-221 c		11.99		86		0.3		5.69		0.03		2.28		1091
Kepler-318 b		11.83		84		0.3		4.66		0.07		2.38		1538
HAT-P-2 b		7.65		10		0.3		5.63		8.87		5.15		1699
Kepler-858 b		10.94		50		0.3		76.14		0.08		2.38		525
Kepler-1628 b		13.41		136		0.3		76.38		0.11		2.18		287
Kepler-720 b		13.39		132		0.3		4.71		0.38		2.87		1329
Kepler-1349 b		9.82		29		0.3		2.13		0.00		1.69		2141
Kepler-974 b		11.28		52		0.3		4.19		0.01		2.74		739
Kepler-113 b		11.36		51		0.3		4.75		0.01		2.58		1004
Kepler-28 b		12.77		118		0.3		5.91		0.04		2.30		914
WASP-106 b		10.23		35		0.3		9.29		1.93		3.75		1373
Kepler-424 b		12.60		115		0.3		3.31		0.77		3.23		1453
Kepler-682 b		13.55		157		0.3		12.61		0.16		2.29		937
Kepler-10 b		9.56		24		0.3		0.84		0.01		3.14		2562
Kepler-26 b		12.75		105		0.3		12.28		0.04		2.30		577
Kepler-49 c		12.49		93		0.3		10.91		0.02		2.32		591
Kepler-32 f		12.90		102		0.3		0.74		0.00		1.94		1385
Kepler-553 b		13.16		133		0.3		4.03		0.07		2.38		1268
Kepler-1642 b		12.16		73		0.3		12.21		0.03		2.28		893
Kepler-1049 b		11.35		66		0.3		3.27		0.00		2.18		836
Kepler-1583 b		11.33		30		0.2		9.33		0.00		1.49		1060
Kepler-252 c		12.65		64		0.2		10.85		0.02		2.43		577
Kepler-220 c		10.67		30		0.2		9.03		0.01		2.74		744
Kepler-1521 b		10.94		38		0.2		47.15		0.02		2.33		517
Kepler-32 b		12.90		86		0.2		5.90		0.02		2.41		694
Kepler-956 b		11.97		62		0.2		5.25		0.03		2.27		1504
Kepler-1228 b		12.88		69		0.2		0.58		0.01		2.77		2235
Kepler-149 b		12.27		53		0.2		29.20		0.06		2.37		699
Kepler-1061 b		11.98		45		0.2		2.76		0.01		2.50		1809
Kepler-582 b		13.03		64		0.2		18.49		0.04		2.31		833
Kepler-622 b		12.07		53		0.2		14.28		0.02		2.43		597
Kepler-267 b		12.68		81		0.2		3.35		0.01		2.50		869
Kepler-753 b		11.97		54		0.2		5.75		0.01		2.53		855
Kepler-304 c		12.75		66		0.2		5.32		0.02		2.42		921
Kepler-855 b		13.40		97		0.2		7.89		0.37		2.86		1214
Kepler-979 b		12.79		71		0.2		8.09		0.02		2.29		1011
Kepler-46 b		13.44		94		0.2		33.60		0.31		2.53		645
Kepler-117 b		12.99		71		0.2		18.80		0.19		2.34		1154
Kepler-137 c		11.23		29		0.2		18.74		0.01		2.55		717
Kepler-696 b		13.77		122		0.2		4.19		0.14		2.47		1545
Kepler-1547 b		12.06		42		0.2		0.69		0.00		2.08		3002
Kepler-87 c		13.03		100		0.2		191.23		0.02		0.55		529
Kepler-607 b		12.50		71		0.2		0.64		0.00		2.04		2278
Kepler-327 b		12.11		58		0.2		2.55		0.00		2.41		800
Kepler-685 b		13.36		105		0.2		1.63		1.00		3.37		2201
