Name,Kmag,Depth (Em),Depth (Rf),Noise,Albedo,Eq Temp,Mass
-,-,ppm,ppm,ppm,-,K,M_jup
CoRoT-21,13.81,592.3,0.0,709.7,0.00,2431,2.26
Kepler-426,13.21,441.9,0.0,538.4,0.00,1548,0.34
HD_219134b,3.26,4.4,0.0,5.5,0.00,1207,0.01
Kepler-433,12.83,349.3,0.0,452.0,0.00,2097,2.82
HAT-P-38,10.50,116.5,0.0,154.6,0.00,1284,0.27
CoRoT-13,13.38,426.7,0.0,582.2,0.00,1704,1.31
CoRoT-17,12.47,279.6,0.0,382.9,0.00,1910,2.46
HATS-05,10.70,122.2,0.0,169.5,0.00,1219,0.24
Kepler-077,12.36,261.7,0.0,364.0,0.00,1485,0.43
NGTS-1,11.94,213.3,0.0,300.0,0.00,941,0.81
CoRoT-15,13.39,413.7,0.0,584.9,0.00,1984,64.90
K2-060,10.99,134.7,0.0,193.7,0.00,1573,0.43
WASP-106,10.16,90.2,0.0,132.2,0.00,1341,1.93
HD_017156,6.76,18.8,0.0,27.6,0.00,1051,3.26
CoRoT-28,11.03,133.2,0.0,197.3,0.00,1622,0.48
HAT-P-54,10.33,93.6,0.0,142.9,0.00,975,0.76
CoRoT-27,12.98,309.5,0.0,484.3,0.00,1612,10.39
CoRoT-26,13.26,347.1,0.0,550.9,0.00,1870,0.52
pi_Men,4.24,5.3,0.0,8.7,0.00,1388,0.02
Kepler-424,12.47,226.1,0.0,382.9,0.00,1447,1.03
WTS-1,15.27,798.2,0.0,1390.3,0.00,1773,4.01
HATS-61,11.48,138.9,0.0,242.7,0.00,1483,3.40
K2-039,8.52,34.5,0.0,62.1,0.00,2012,0.12
HATS-59,12.24,191.5,0.0,344.4,0.00,1339,0.81
Kepler-448,10.23,75.9,0.0,136.5,0.00,1285,1.10
CoRoT-25,12.85,253.4,0.0,456.1,0.00,1572,0.37
NGTS-4,11.07,110.0,0.0,201.0,0.00,1961,0.07
WASP-107,8.64,35.9,0.0,65.6,0.00,876,0.12
CoRoT-29,13.05,270.9,0.0,500.1,0.00,1449,0.85
WASP-084,8.86,39.3,0.0,72.6,0.00,953,0.69
K2-135b,7.19,18.1,0.0,33.7,0.00,1397,0.02
HATS-08,12.66,220.1,0.0,417.9,0.00,1571,0.14
Kepler-078,9.59,53.2,0.0,101.6,0.00,2678,0.01
WASP-134,9.41,49.0,0.0,93.6,0.00,1146,1.41
HATS-20,11.86,145.4,0.0,289.1,0.00,1362,0.27
HAT-P-18,10.23,68.3,0.0,136.5,0.00,1000,0.20
K2-113,11.95,149.0,0.0,301.4,0.00,1377,1.29
Kepler-428,13.23,265.9,0.0,543.4,0.00,1269,1.27
HAT-P-26,9.58,49.2,0.0,101.2,0.00,1165,0.06
Kepler-040,13.27,264.9,0.0,553.5,0.00,2076,2.16
HAT-P-17,8.54,29.4,0.0,62.7,0.00,927,0.53
WASP-156,9.34,42.1,0.0,90.6,0.00,1153,0.13
K2-100,9.18,39.1,0.0,84.2,0.00,1855,-1.00
CoRoT-16,12.85,211.5,0.0,456.1,0.00,1422,0.54
HATS-22,10.94,87.4,0.0,189.3,0.00,1020,2.74
HATS-46,11.97,138.0,0.0,304.2,0.00,1256,0.17
HAT-P-15,9.64,46.6,0.0,104.0,0.00,1069,1.95
EPIC_201498078,8.89,32.6,0.0,73.6,0.00,1268,0.18
Kepler-425,12.81,192.8,0.0,447.8,0.00,1276,0.25
K2-099,9.72,46.2,0.0,107.9,0.00,1517,0.97
HD_219666,8.16,22.0,0.0,52.6,0.00,1275,0.05
HATS-07,10.98,79.8,0.0,192.8,0.00,1288,0.12
Kepler-422,12.04,124.5,0.0,314.1,0.00,1332,0.43
HAT-P-11,7.01,12.1,0.0,31.0,0.00,988,0.09
WASP-139,10.47,58.8,0.0,152.4,0.00,1092,0.12
K2-234,7.72,16.5,0.0,43.0,0.00,1253,0.11
EPIC_220501947,11.14,79.2,0.0,207.5,0.00,994,0.34
LHS_3844,9.15,31.3,0.0,83.0,0.00,959,-1.00
WASP-105,9.94,43.3,0.0,119.4,0.00,1007,1.80
K2-229b,9.05,28.7,0.0,79.3,0.00,2333,0.01
CoRoT-06,12.12,113.9,0.0,325.9,0.00,1220,2.96
CoRoT-33,12.71,148.4,0.0,427.7,0.00,1207,59.00
K2-106b,10.34,44.8,0.0,143.6,0.00,2652,0.02
CoRoT-07,9.81,34.4,0.0,112.5,0.00,2093,0.02
HATS-06,11.22,65.8,0.0,215.3,0.00,858,0.32
Kepler-010b,9.50,29.5,0.0,97.5,0.00,2602,0.01
WASP-162,10.47,45.9,0.0,152.4,0.00,1085,5.20
WASP-047c,10.19,40.4,0.0,134.0,0.00,2624,0.02
CoRoT-04,12.29,104.3,0.0,352.5,0.00,1259,0.73
Kepler-045,12.89,137.2,0.0,464.6,0.00,936,0.50
GJ_0436,6.07,5.9,0.0,20.1,0.00,753,0.08
WASP-132,9.67,28.2,0.0,105.5,0.00,905,0.41
Kepler-021,6.95,7.8,0.0,30.1,0.00,2409,0.02
WASP-130,9.46,24.4,0.0,95.7,0.00,989,1.23
Kepler-004,10.80,44.7,0.0,177.5,0.00,1928,0.07
K2-108,10.56,39.5,0.0,158.9,0.00,1735,0.19
Kepler-101b,12.01,73.8,0.0,309.8,0.00,1864,0.16
K2-137,10.88,43.5,0.0,184.1,0.00,1748,0.00
Kepler-427,12.78,103.4,0.0,441.7,0.00,1281,0.29
K2-055,10.47,30.8,0.0,152.4,0.00,1119,0.14
Kepler-074,12.96,94.4,0.0,479.8,0.00,1303,0.63
EPIC_247418783,8.35,11.3,0.0,57.4,0.00,1662,0.02
Kepler-503,13.04,92.8,0.0,497.8,0.00,1540,78.60
EPIC_249451861,9.19,15.5,0.0,84.5,0.00,976,0.32
Kepler-730b,14.10,146.7,0.0,811.1,0.00,1447,-1.00
CoRoT-20,12.51,68.6,0.0,390.0,0.00,1217,4.14
Kepler-063,10.00,17.6,0.0,122.8,0.00,1073,0.00
POTS-1,14.24,122.3,0.0,865.2,0.00,1001,2.31
HD_219134c,3.26,0.8,0.0,5.5,0.00,930,0.01
K2-265,9.26,12.0,0.0,87.3,0.00,1690,0.02
K2-019b,11.16,25.9,0.0,209.5,0.00,1046,0.09
EPIC_246471491b,9.97,14.9,0.0,121.1,0.00,1295,0.03
Kepler-025c,9.49,11.6,0.0,97.1,0.00,1241,0.08
Kepler-068b,8.59,7.2,0.0,64.1,0.00,1491,0.02
CoRoT-08,11.46,26.9,0.0,240.5,0.00,1034,0.22
WASP-059,9.72,11.7,0.0,107.9,0.00,791,0.86
Kepler-434,13.04,53.2,0.0,497.8,0.00,1190,2.86
Kepler-056b,10.23,14.2,0.0,136.5,0.00,1780,0.07
Kepler-025b,9.49,10.1,0.0,97.1,0.00,1578,0.03
K2-233b,8.38,5.9,0.0,58.2,0.00,1345,-1.00
GJ_3470,7.99,4.9,0.0,48.7,0.00,769,0.04
HATS-71,11.73,27.1,0.0,272.3,0.00,726,0.45
CoRoT-32,12.19,32.7,0.0,336.6,0.00,1142,0.15
K2-216,9.86,10.9,0.0,115.1,0.00,1309,0.02
GJ_1214,8.78,6.4,0.0,70.0,0.00,679,0.02
K2-138c,10.31,12.9,0.0,141.6,0.00,1355,-1.00
