Name,Kmag,AtmDepth,SNR,Period,Mass,logg,Eq Temp
-,-,ppm,-,days,M_jup,-,K
K2-233c,8.38,-0.2,-0.004,7.06,-1.00,-1747.40,947
K2-133c,10.28,-0.6,-0.004,4.87,-1.00,-1422.55,677
K2-021b,9.42,-0.4,-0.005,9.32,-1.00,-1229.25,664
K2-155b,9.50,-0.5,-0.006,6.34,-1.00,-1301.54,698
K2-233b,8.38,-0.4,-0.007,2.47,-1.00,-1593.98,1345
K2-288,9.32,-0.6,-0.007,27.36,-1.00,-701.29,421
K2-021c,9.42,-0.6,-0.007,15.50,-1.00,-847.66,561
Kepler-421,11.54,-1.8,-0.007,704.20,-1.00,-180.08,240
Kepler-065c,9.81,-0.8,-0.007,5.86,-1.00,-468.55,1622
K2-133d,10.28,-1.1,-0.008,11.02,-1.00,-765.02,518
K2-155c,9.50,-0.8,-0.009,13.85,-1.00,-818.69,537
K2-026b,10.53,-1.6,-0.010,14.57,-1.00,-512.12,505
K2-138f,10.31,-1.6,-0.011,12.76,-1.00,-393.43,886
K2-138c,10.31,-1.7,-0.012,3.56,-1.00,-489.61,1355
K2-138d,10.31,-1.7,-0.012,5.41,-1.00,-441.28,1179
EPIC_248435473e,8.90,-1.2,-0.016,19.48,-1.00,-521.56,560
K2-095,12.47,-7.5,-0.019,10.13,-1.00,-257.92,494
K2-138e,10.31,-2.9,-0.020,8.26,-1.00,-286.76,1024
K2-233d,8.38,-1.2,-0.021,24.37,-1.00,-446.92,627
EPIC_248435473d,8.90,-1.6,-0.022,14.70,-1.00,-445.03,615
Wolf_503,7.62,-1.0,-0.023,6.00,-1.00,-755.75,940
K2-100,9.18,-3.1,-0.037,1.67,-1.00,-261.28,1855
LHS_3844,9.15,-3.6,-0.044,0.46,-1.00,-1780.13,959
K2-028,10.75,-8.5,-0.049,2.26,-1.00,-472.66,716
Kepler-167e,11.83,-20.1,-0.070,1071.23,-1.00,-30.20,174
EPIC_248435473b,8.90,-6.1,-0.083,0.66,-1.00,-366.66,1732
Kepler-730b,14.10,-79.3,-0.098,6.49,-1.00,-20.48,1447
NLTT_41135,-1.00,-30.2,-39.050,2.89,33.70,835.31,548
