# TIC     |   RA      |   Dec     | EclipticLong | EclipticLat | Sector | Camera | Ccd | ColPix | RowPix
000000710 | 107.600250 | -38.902611 | 118.643361 | -60.604782 |  7 | 3 | 2 |   80.229 | 1172.874
000000711 | 108.301417 | -41.590250 | 121.220808 | -63.060826 |  7 | 3 | 1 | 2038.370 | 1594.605
000000711 | 108.301417 | -41.590250 | 121.220808 | -63.060826 |  8 | 3 | 2 | 1902.802 | 1960.573
000000712 | 289.479375 | -31.140028 | 286.784543 |  -8.827494 | 13 | 1 | 3 | 1166.385 |  525.731
000000713 | 332.714292 | -29.250472 | 324.094253 | -16.809559 |  1 | 1 | 3 |  781.314 | 1929.231
000000714 |  63.373958 | -68.773167 | 335.521633 | -79.730254 |  1 | 4 | 1 | 1550.436 |  419.806
000000714 |  63.373958 | -68.773167 | 335.521633 | -79.730254 |  2 | 4 | 2 |  228.463 |  333.522
000000714 |  63.373958 | -68.773167 | 335.521633 | -79.730254 |  3 | 4 | 2 | 1016.557 |  644.873
000000714 |  63.373958 | -68.773167 | 335.521633 | -79.730254 |  4 | 4 | 2 | 1570.602 | 1284.698
000000714 |  63.373958 | -68.773167 | 335.521633 | -79.730254 |  6 | 4 | 3 |  570.413 | 1294.382
000000714 |  63.373958 | -68.773167 | 335.521633 | -79.730254 |  7 | 4 | 3 | 1108.567 |  670.292
000000714 |  63.373958 | -68.773167 | 335.521633 | -79.730254 |  8 | 4 | 3 | 1858.442 |  357.740
000000714 |  63.373958 | -68.773167 | 335.521633 | -79.730254 |  9 | 4 | 4 |  497.080 |  408.763
000000714 |  63.373958 | -68.773167 | 335.521633 | -79.730254 | 10 | 4 | 4 | 1202.008 |  814.731
000000714 |  63.373958 | -68.773167 | 335.521633 | -79.730254 | 11 | 4 | 4 | 1660.450 | 1514.237
000000714 |  63.373958 | -68.773167 | 335.521633 | -79.730254 | 12 | 4 | 1 |  390.420 | 1845.935
000000714 |  63.373958 | -68.773167 | 335.521633 | -79.730254 | 13 | 4 | 1 |  704.796 | 1059.168
000000715 | 160.558667 |  -2.164917 | 162.883093 |  -9.611634 |  9 | 1 | 4 | 1597.701 |  668.054
000000716 | 172.858750 | -40.310472 | 192.686154 | -39.142347 | 10 | 2 | 4 |  789.024 | 1649.224
000000717 | 176.298958 | -41.936028 | 196.631205 | -39.216179 | 10 | 2 | 4 |  265.746 | 1637.779
000000718 | 203.105917 | -41.524722 | 217.751065 | -29.429734 | 11 | 1 | 1 |  896.001 |   59.941
000000719 | 210.193500 | -29.416444 | 218.422828 | -16.042436 | 11 | 1 | 4 | 1214.063 | 1787.684
000000720 | 217.609250 | -45.840833 | 230.745189 | -29.279792 | 11 | 1 | 2 |  728.173 |  117.245
